1	ndb_no	"replace(format(ifnull(calory.calory,0),0),"","","""")"	"replace(format(ifnull(Protein.Protein,0),0),"","","""")"
1	01001	162759	193
1	01002	108267	128
1	01003	179580	57
1	01004	0	0
1	01005	0	0
1	01006	0	0
1	01007	73800	4871
1	01008	0	0
1	01009	0	0
1	01010	0	0
1	01011	0	0
1	01012	0	0
1	01013	0	0
1	01014	0	0
1	01015	0	0
1	01016	0	0
1	01017	79344	1376
1	01018	0	0
1	01019	0	0
1	01020	0	0
1	01021	0	0
1	01022	0	0
1	01023	0	0
1	01024	43818	2687
1	01025	0	0
1	01026	0	0
1	01027	0	0
1	01028	0	0
1	01029	0	0
1	01030	0	0
1	01031	0	0
1	01032	43100	3846
1	01033	0	0
1	01034	0	0
1	01035	0	0
1	01036	42804	2770
1	01036	42804	1396
1	01036	21576	2770
1	01036	21576	1396
1	01037	33948	2802
1	01037	33948	1412
1	01037	17112	2802
1	01037	17112	1412
1	01038	0	0
1	01039	0	0
1	01040	0	0
1	01041	0	0
1	01042	0	0
1	01043	0	0
1	01044	0	0
1	01045	0	0
1	01046	37290	1905
1	01047	0	0
1	01048	0	0
1	01049	31460	716
1	01050	46800	648
1	01052	0	0
1	01053	0	0
1	01054	15420	192
1	01055	32670	711
1	01056	44390	476
1	01057	22352	1156
1	01058	41830	764
1	01059	15372	813
1	01060	15372	813
1	01067	32640	240
1	01067	32640	120
1	01067	16320	240
1	01067	16320	120
1	01068	16320	120
1	01069	51230	450
1	01070	0	0
1	01071	15520	289
1	01072	18480	69
1	01073	23850	94
1	01074	47840	552
1	01075	14884	427
1	01076	14884	427
1	01077	14884	769
1	01078	15616	800
1	01079	12200	805
1	01080	12495	853
1	01081	13776	972
1	01082	10248	822
1	01083	10535	853
1	01084	11808	967
1	01085	8330	826
1	01086	9065	875
1	01087	10086	974
1	01088	9800	811
1	01089	14884	756
1	01090	63488	3369
1	01090	63488	842
1	01090	15872	3369
1	01090	15872	842
1	01091	43440	4339
1	01091	43440	1085
1	01091	10860	4339
1	01091	10860	1085
1	01092	24344	2387
1	01093	0	0
1	01094	46440	4116
1	01095	98226	2420
1	01096	33768	1716
1	01096	33768	858
1	01096	16884	1716
1	01096	16884	858
1	01097	19968	1933
1	01097	19968	966
1	01097	9984	1933
1	01097	9984	966
1	01102	20750	793
1	01103	19000	748
1	01104	17750	810
1	01105	19250	880
1	01106	16836	869
1	01107	17220	253
1	01108	23668	915
1	01109	26460	1465
1	01110	0	0
1	01111	0	0
1	01112	5904	187
1	01113	19323	669
1	01114	6642	209
1	01115	51185	1875
1	01116	0	0
1	01117	0	0
1	01118	0	0
1	01119	0	0
1	01120	0	0
1	01121	0	0
1	01122	0	0
1	01123	0	0
1	01124	12636	2649
1	01125	78246	3854
1	01126	0	0
1	01127	0	0
1	01128	0	0
1	01129	0	0
1	01130	0	0
1	01131	0	0
1	01132	32780	2198
1	01133	0	0
1	01134	0	0
1	01135	0	0
1	01136	0	0
1	01137	0	0
1	01138	0	0
1	01139	0	0
1	01140	0	0
1	01141	0	0
1	01142	38400	2710
1	01142	38400	677
1	01142	9600	2710
1	01142	9600	677
1	01143	21084	3012
1	01144	0	0
1	01145	162759	193
1	01146	0	0
1	01147	0	0
1	01148	0	0
1	01149	0	0
1	01150	0	0
1	01151	8330	826
1	01152	13720	968
1	01153	16884	858
1	01154	43440	4339
1	01154	43440	1085
1	01154	10860	4339
1	01154	10860	1085
1	01155	24344	2387
1	01156	0	0
1	01157	0	0
1	01159	0	0
1	01160	0	0
1	01161	0	0
1	01163	49235	3059
1	01163	49235	1537
1	01163	24732	3059
1	01163	24732	1537
1	01164	47871	2510
1	01165	0	0
1	01166	0	0
1	01167	0	0
1	01168	0	0
1	01169	0	0
1	01171	0	0
1	01172	0	0
1	01173	0	0
1	01174	12300	812
1	01175	10248	822
1	01178	41630	1610
1	01179	31740	805
1	01180	17020	713
1	01182	0	0
1	01184	0	0
1	01185	0	0
1	01186	0	0
1	01187	0	0
1	01188	0	0
1	01189	0	0
1	01190	0	0
1	01191	0	0
1	01192	0	0
1	01193	0	0
1	01194	0	0
1	01195	0	0
1	01196	0	0
1	01197	0	0
1	01198	0	0
1	01199	0	0
1	01200	11175	225
1	01202	19500	748
1	01203	0	0
1	01204	26500	2000
1	01205	0	0
1	01206	0	0
1	01208	0	0
1	01209	7896	691
1	01210	58275	3738
1	01211	14884	769
1	01212	63488	3369
1	01212	63488	842
1	01212	15872	3369
1	01212	15872	842
1	01214	34020	1716
1	01214	34020	858
1	01214	17010	1716
1	01214	17010	858
1	01215	0	0
1	01216	0	0
1	01217	0	0
1	01218	0	0
1	01219	0	0
1	01220	0	0
1	01221	0	0
1	01222	0	0
1	01223	0	0
1	01224	0	0
1	01225	0	0
1	01226	11520	2400
1	01226	11520	600
1	01226	2880	2400
1	01226	2880	600
1	01227	0	0
1	01228	0	0
1	01229	0	0
1	01230	15190	786
1	01231	0	0
1	01235	7072	299
1	01236	19092	353
1	01237	0	0
1	01238	0	0
1	01239	0	0
1	01240	0	0
1	01241	0	0
1	01242	0	0
1	01243	8772	300
1	01244	0	0
1	01250	0	0
1	01251	0	0
1	01252	0	0
1	01253	0	0
1	01254	37290	1905
1	01255	0	0
1	01256	0	0
1	01258	0	0
1	02001	0	0
1	02002	0	0
1	02003	0	0
1	02004	0	0
1	02005	0	0
1	02006	0	0
1	02007	0	0
1	02008	0	0
1	02009	0	0
1	02010	0	0
1	02011	0	0
1	02012	0	0
1	02013	0	0
1	02014	0	0
1	02015	0	0
1	02016	0	0
1	02017	0	0
1	02018	0	0
1	02019	0	0
1	02020	0	0
1	02021	0	0
1	02022	0	0
1	02023	0	0
1	02024	0	0
1	02025	0	0
1	02026	0	0
1	02027	0	0
1	02028	0	0
1	02029	0	0
1	02030	0	0
1	02031	0	0
1	02032	0	0
1	02033	0	0
1	02034	0	0
1	02035	0	0
1	02036	0	0
1	02037	0	0
1	02038	0	0
1	02039	0	0
1	02041	0	0
1	02042	0	0
1	02043	0	0
1	02044	0	0
1	02045	0	0
1	02046	16683	1088
1	02047	0	0
1	02048	5019	0
1	02049	0	0
1	02050	59904	12
1	02051	0	0
1	02052	0	0
1	02053	4284	0
1	02054	0	0
1	02055	0	0
1	02063	0	0
1	02064	0	0
1	02065	0	0
1	02066	0	0
1	02068	4541	10
1	02069	22440	125
1	02073	0	0
1	03001	0	0
1	03002	0	0
1	03003	0	0
1	03005	0	0
1	03007	0	0
1	03008	0	0
1	03009	0	0
1	03010	0	0
1	03011	0	0
1	03012	0	0
1	03013	0	0
1	03014	0	0
1	03015	0	0
1	03016	0	0
1	03017	0	0
1	03019	0	0
1	03021	0	0
1	03041	0	0
1	03042	0	0
1	03043	0	0
1	03044	0	0
1	03045	0	0
1	03046	0	0
1	03047	0	0
1	03048	0	0
1	03049	0	0
1	03050	0	0
1	03051	0	0
1	03052	0	0
1	03053	19712	566
1	03054	19712	566
1	03055	0	0
1	03059	17664	492
1	03061	15104	561
1	03062	15360	517
1	03066	13312	512
1	03067	0	0
1	03068	0	0
1	03069	0	0
1	03070	11450	366
1	03072	0	0
1	03073	15104	632
1	03075	0	0
1	03076	0	0
1	03077	0	0
1	03079	0	0
1	03081	0	0
1	03082	0	0
1	03083	0	0
1	03084	12288	594
1	03085	13568	440
1	03086	0	0
1	03089	0	0
1	03090	0	0
1	03091	6480	288
1	03092	5760	288
1	03093	0	0
1	03096	0	0
1	03098	7616	291
1	03099	5824	179
1	03100	7168	179
1	03104	0	0
1	03105	0	0
1	03108	12768	246
1	03109	13440	246
1	03112	8476	163
1	03114	0	0
1	03115	0	0
1	03116	0	0
1	03117	0	0
1	03118	0	0
1	03119	13680	336
1	03120	15600	336
1	03121	12000	785
1	03122	0	0
1	03127	8880	600
1	03128	0	0
1	03129	0	0
1	03130	0	0
1	03131	0	0
1	03132	0	0
1	03133	0	0
1	03134	0	0
1	03135	0	0
1	03136	0	0
1	03137	0	0
1	03139	0	0
1	03140	0	0
1	03141	0	0
1	03142	0	0
1	03143	0	0
1	03144	0	0
1	03145	0	0
1	03147	0	0
1	03150	0	0
1	03151	0	0
1	03152	0	0
1	03153	0	0
1	03154	0	0
1	03156	0	0
1	03157	0	0
1	03158	0	0
1	03159	0	0
